mcline4.bin
         1.00
11
3
Type of measurement (0=app. resistivity,1=resistance)
0
153
 2
0
4  0.00  0.00 1.00  0.00 2.00  0.00 3.00  0.00 133.16 
4  0.00  0.00 1.00  0.00 3.00  0.00 4.00  0.00 99.90 
4  0.00  0.00 1.00  0.00 4.00  0.00 5.00  0.00 63.36 
4  0.00  0.00 1.00  0.00 5.00  0.00 6.00  0.00 38.71 
4  0.00  0.00 1.00  0.00 6.00  0.00 7.00  0.00 26.19 
4  0.00  0.00 1.00  0.00 7.00  0.00 8.00  0.00 22.11 
4  0.00  0.00 1.00  0.00 8.00  0.00 9.00  0.00 20.64 
4  0.00  0.00 1.00  0.00 9.00  0.00 10.00  0.00 19.54 
4  0.00  0.00 1.00  0.00 10.00  0.00 11.00  0.00 23.21 
4  1.00  0.00 2.00  0.00 3.00  0.00 4.00  0.00 121.53 
4  1.00  0.00 2.00  0.00 4.00  0.00 5.00  0.00 85.69 
4  1.00  0.00 2.00  0.00 5.00  0.00 6.00  0.00 51.48 
4  1.00  0.00 2.00  0.00 6.00  0.00 7.00  0.00 31.48 
4  1.00  0.00 2.00  0.00 7.00  0.00 8.00  0.00 20.29 
4  1.00  0.00 2.00  0.00 8.00  0.00 9.00  0.00 17.49 
4  1.00  0.00 2.00  0.00 9.00  0.00 10.00  0.00 16.05 
4  1.00  0.00 2.00  0.00 10.00  0.00 11.00  0.00 16.50 
4  1.00  0.00 2.00  0.00 11.00  0.00 12.00  0.00 23.21 
4  2.00  0.00 3.00  0.00 4.00  0.00 5.00  0.00 128.37 
4  2.00  0.00 3.00  0.00 5.00  0.00 6.00  0.00 83.21 
4  2.00  0.00 3.00  0.00 6.00  0.00 7.00  0.00 49.61 
4  2.00  0.00 3.00  0.00 7.00  0.00 8.00  0.00 28.21 
4  2.00  0.00 3.00  0.00 8.00  0.00 9.00  0.00 19.44 
4  2.00  0.00 3.00  0.00 9.00  0.00 10.00  0.00 13.84 
4  2.00  0.00 3.00  0.00 10.00  0.00 11.00  0.00 18.65 
