mcline1inc.bin
         1.00
11
3
Type of measurement (0=app. resistivity,1=resistance)
0
485
 2
0
4  0.00  0.00 1.00  0.00 2.00  0.00 3.00  0.00 120.17 
4  0.00  0.00 1.00  0.00 3.00  0.00 4.00  0.00 75.95 
4  0.00  0.00 1.00  0.00 4.00  0.00 5.00  0.00 63.15 
4  0.00  0.00 1.00  0.00 5.00  0.00 6.00  0.00 52.90 
4  0.00  0.00 1.00  0.00 6.00  0.00 7.00  0.00 41.45 
4  0.00  0.00 1.00  0.00 7.00  0.00 8.00  0.00 54.19 
4  0.00  0.00 1.00  0.00 8.00  0.00 9.00  0.00 74.37 
4  0.00  0.00 1.00  0.00 9.00  0.00 10.00  0.00 453.33 
4  0.00  0.00 1.00  0.00 10.00  0.00 11.00  0.00 478.95 
4  1.00  0.00 2.00  0.00 3.00  0.00 4.00  0.00 120.08 
4  1.00  0.00 2.00  0.00 4.00  0.00 5.00  0.00 82.45 
4  1.00  0.00 2.00  0.00 5.00  0.00 6.00  0.00 60.88 
4  1.00  0.00 2.00  0.00 6.00  0.00 7.00  0.00 47.43 
4  1.00  0.00 2.00  0.00 7.00  0.00 8.00  0.00 53.61 
4  1.00  0.00 2.00  0.00 8.00  0.00 9.00  0.00 53.85 
4  1.00  0.00 2.00  0.00 9.00  0.00 10.00  0.00 54.04 
4  1.00  0.00 2.00  0.00 10.00  0.00 11.00  0.00 77.44 
4  1.00  0.00 2.00  0.00 11.00  0.00 12.00  0.00 59.08 
4  2.00  0.00 3.00  0.00 4.00  0.00 5.00  0.00 117.34 
4  2.00  0.00 3.00  0.00 5.00  0.00 6.00  0.00 70.11 
4  2.00  0.00 3.00  0.00 6.00  0.00 7.00  0.00 54.55 
4  2.00  0.00 3.00  0.00 7.00  0.00 8.00  0.00 53.41 
4  2.00  0.00 3.00  0.00 8.00  0.00 9.00  0.00 54.41 
4  2.00  0.00 3.00  0.00 9.00  0.00 10.00  0.00 64.46 
4  2.00  0.00 3.00  0.00 10.00  0.00 11.00  0.00 47.57 
4  2.00  0.00 3.00  0.00 11.00  0.00 12.00  0.00 64.83 
4  2.00  0.00 3.00  0.00 12.00  0.00 13.00  0.00 91.56 
4  3.00  0.00 4.00  0.00 5.00  0.00 6.00  0.00 103.36 
4  3.00  0.00 4.00  0.00 6.00  0.00 7.00  0.00 67.06 
4  3.00  0.00 4.00  0.00 7.00  0.00 8.00  0.00 59.44 
4  3.00  0.00 4.00  0.00 8.00  0.00 9.00  0.00 49.25 
4  3.00  0.00 4.00  0.00 9.00  0.00 10.00  0.00 48.98 
4  3.00  0.00 4.00  0.00 10.00  0.00 11.00  0.00 54.27 
4  3.00  0.00 4.00  0.00 11.00  0.00 12.00  0.00 53.98 
4  3.00  0.00 4.00  0.00 12.00  0.00 13.00  0.00 47.64 
4  3.00  0.00 4.00  0.00 13.00  0.00 14.00  0.00 46.27 
4  4.00  0.00 5.00  0.00 6.00  0.00 7.00  0.00 102.33 
4  4.00  0.00 5.00  0.00 7.00  0.00 8.00  0.00 82.61 
4  4.00  0.00 5.00  0.00 8.00  0.00 9.00  0.00 58.69 
4  4.00  0.00 5.00  0.00 9.00  0.00 10.00  0.00 55.57 
4  4.00  0.00 5.00  0.00 10.00  0.00 11.00  0.00 51.76 
4  4.00  0.00 5.00  0.00 11.00  0.00 12.00  0.00 49.78 
4  4.00  0.00 5.00  0.00 12.00  0.00 13.00  0.00 63.22 
4  4.00  0.00 5.00  0.00 13.00  0.00 14.00  0.00 58.77 
4  4.00  0.00 5.00  0.00 14.00  0.00 15.00  0.00 43.54 
4  5.00  0.00 6.00  0.00 7.00  0.00 8.00  0.00 121.94 
4  5.00  0.00 6.00  0.00 8.00  0.00 9.00  0.00 77.21 
4  5.00  0.00 6.00  0.00 9.00  0.00 10.00  0.00 57.03 
4  5.00  0.00 6.00  0.00 10.00  0.00 11.00  0.00 53.76 
4  5.00  0.00 6.00  0.00 11.00  0.00 12.00  0.00 47.51 
4  5.00  0.00 6.00  0.00 12.00  0.00 13.00  0.00 49.51 
4  5.00  0.00 6.00  0.00 13.00  0.00 14.00  0.00 51.21 
4  5.00  0.00 6.00  0.00 14.00  0.00 15.00  0.00 58.44 
4  5.00  0.00 6.00  0.00 15.00  0.00 16.00  0.00 57.29 
4  6.00  0.00 7.00  0.00 8.00  0.00 9.00  0.00 113.66 
4  6.00  0.00 7.00  0.00 9.00  0.00 10.00  0.00 76.54 
4  6.00  0.00 7.00  0.00 10.00  0.00 11.00  0.00 50.32 
4  6.00  0.00 7.00  0.00 11.00  0.00 12.00  0.00 44.24 
4  6.00  0.00 7.00  0.00 12.00  0.00 13.00  0.00 44.52 
4  6.00  0.00 7.00  0.00 13.00  0.00 14.00  0.00 46.06 
4  6.00  0.00 7.00  0.00 14.00  0.00 15.00  0.00 51.83 
4  6.00  0.00 7.00  0.00 15.00  0.00 16.00  0.00 52.35 
4  6.00  0.00 7.00  0.00 16.00  0.00 17.00  0.00 58.63 
4  7.00  0.00 8.00  0.00 9.00  0.00 10.00  0.00 127.57 
4  7.00  0.00 8.00  0.00 10.00  0.00 11.00  0.00 72.50 
4  7.00  0.00 8.00  0.00 11.00  0.00 12.00  0.00 49.58 
4  7.00  0.00 8.00  0.00 12.00  0.00 13.00  0.00 44.83 
4  7.00  0.00 8.00  0.00 13.00  0.00 14.00  0.00 42.95 
4  7.00  0.00 8.00  0.00 14.00  0.00 15.00  0.00 49.28 
4  7.00  0.00 8.00  0.00 15.00  0.00 16.00  0.00 46.98 
4  7.00  0.00 8.00  0.00 16.00  0.00 17.00  0.00 57.36 
4  7.00  0.00 8.00  0.00 17.00  0.00 18.00  0.00 56.35 
4  8.00  0.00 9.00  0.00 10.00  0.00 11.00  0.00 112.59 
4  8.00  0.00 9.00  0.00 11.00  0.00 12.00  0.00 62.77 
4  8.00  0.00 9.00  0.00 12.00  0.00 13.00  0.00 47.31 
4  8.00  0.00 9.00  0.00 13.00  0.00 14.00  0.00 46.48 
4  8.00  0.00 9.00  0.00 14.00  0.00 15.00  0.00 48.70 
4  8.00  0.00 9.00  0.00 15.00  0.00 16.00  0.00 49.32 
4  8.00  0.00 9.00  0.00 16.00  0.00 17.00  0.00 55.10 
4  8.00  0.00 9.00  0.00 17.00  0.00 18.00  0.00 60.02 
4  8.00  0.00 9.00  0.00 18.00  0.00 19.00  0.00 61.74 
4  9.00  0.00 10.00  0.00 11.00  0.00 12.00  0.00 104.53 
4  9.00  0.00 10.00  0.00 12.00  0.00 13.00  0.00 60.15 
4  9.00  0.00 10.00  0.00 13.00  0.00 14.00  0.00 51.72 
4  9.00  0.00 10.00  0.00 14.00  0.00 15.00  0.00 50.71 
4  9.00  0.00 10.00  0.00 15.00  0.00 16.00  0.00 52.12 
4  9.00  0.00 10.00  0.00 16.00  0.00 17.00  0.00 58.13 
4  9.00  0.00 10.00  0.00 17.00  0.00 18.00  0.00 62.02 
4  9.00  0.00 10.00  0.00 18.00  0.00 19.00  0.00 72.59 
4  9.00  0.00 10.00  0.00 19.00  0.00 20.00  0.00 64.99 
4  10.00  0.00 11.00  0.00 12.00  0.00 13.00  0.00 81.74 
4  10.00  0.00 11.00  0.00 13.00  0.00 14.00  0.00 56.66 
