mcline3.bin
         1.00
11
3
Type of measurement (0=app. resistivity,1=resistance)
0
153
 2
0
4  0.00  0.00 1.00  0.00 2.00  0.00 3.00  0.00 108.55 
4  0.00  0.00 1.00  0.00 3.00  0.00 4.00  0.00 81.21 
4  0.00  0.00 1.00  0.00 4.00  0.00 5.00  0.00 39.34 
4  0.00  0.00 1.00  0.00 5.00  0.00 6.00  0.00 20.16 
4  0.00  0.00 1.00  0.00 6.00  0.00 7.00  0.00 16.20 
4  0.00  0.00 1.00  0.00 7.00  0.00 8.00  0.00 15.96 
4  0.00  0.00 1.00  0.00 8.00  0.00 9.00  0.00 23.84 
4  0.00  0.00 1.00  0.00 9.00  0.00 10.00  0.00 31.67 
4  0.00  0.00 1.00  0.00 10.00  0.00 11.00  0.00 25.95 
4  1.00  0.00 2.00  0.00 3.00  0.00 4.00  0.00 147.63 
4  1.00  0.00 2.00  0.00 4.00  0.00 5.00  0.00 85.94 
4  1.00  0.00 2.00  0.00 5.00  0.00 6.00  0.00 43.21 
4  1.00  0.00 2.00  0.00 6.00  0.00 7.00  0.00 22.85 
4  1.00  0.00 2.00  0.00 7.00  0.00 8.00  0.00 19.92 
4  1.00  0.00 2.00  0.00 8.00  0.00 9.00  0.00 27.22 
4  1.00  0.00 2.00  0.00 9.00  0.00 10.00  0.00 29.42 
4  1.00  0.00 2.00  0.00 10.00  0.00 11.00  0.00 37.87 
4  1.00  0.00 2.00  0.00 11.00  0.00 12.00  0.00 40.99 
4  2.00  0.00 3.00  0.00 4.00  0.00 5.00  0.00 132.44 
4  2.00  0.00 3.00  0.00 5.00  0.00 6.00  0.00 78.55 
4  2.00  0.00 3.00  0.00 6.00  0.00 7.00  0.00 34.67 
4  2.00  0.00 3.00  0.00 7.00  0.00 8.00  0.00 20.72 
4  2.00  0.00 3.00  0.00 8.00  0.00 9.00  0.00 28.83 
4  2.00  0.00 3.00  0.00 9.00  0.00 10.00  0.00 35.62 
4  2.00  0.00 3.00  0.00 10.00  0.00 11.00  0.00 31.05 
4  2.00  0.00 3.00  0.00 11.00  0.00 12.00  0.00 41.39 
4  2.00  0.00 3.00  0.00 12.00  0.00 13.00  0.00 31.26 
4  3.00  0.00 4.00  0.00 5.00  0.00 6.00  0.00 145.39 
4  3.00  0.00 4.00  0.00 6.00  0.00 7.00  0.00 68.43 
4  3.00  0.00 4.00  0.00 7.00  0.00 8.00  0.00 31.80 
4  3.00  0.00 4.00  0.00 8.00  0.00 9.00  0.00 29.91 
4  3.00  0.00 4.00  0.00 9.00  0.00 10.00  0.00 31.10 
4  3.00  0.00 4.00  0.00 10.00  0.00 11.00  0.00 36.20 
4  3.00  0.00 4.00  0.00 11.00  0.00 12.00  0.00 39.77 
4  3.00  0.00 4.00  0.00 12.00  0.00 13.00  0.00 41.85 
4  3.00  0.00 4.00  0.00 13.00  0.00 14.00  0.00 39.56 
4  4.00  0.00 5.00  0.00 6.00  0.00 7.00  0.00 113.38 
4  4.00  0.00 5.00  0.00 7.00  0.00 8.00  0.00 54.64 
4  4.00  0.00 5.00  0.00 8.00  0.00 9.00  0.00 37.59 
