Pt name,North,East,Elevation,HA,VA,SD,Time,Date,Code
base1,139819.574,409038.738,153.241,,,,16:01:58,2020-06-27,
ert1,139867.427,409108.465,153.199,,,,16:14:18,2020-06-27,
ert2,139867.512,409107.466,153.220,,,,16:14:35,2020-06-27,
ert3,139867.623,409106.471,153.241,,,,16:14:50,2020-06-27,
ert4,139867.696,409105.533,153.237,,,,16:15:09,2020-06-27,
ert5,139867.772,409104.546,153.251,,,,16:15:30,2020-06-27,
ert6,139867.834,409103.595,153.260,,,,16:15:44,2020-06-27,
ert7,139867.920,409102.597,153.268,,,,16:16:00,2020-06-27,
ert8,139867.995,409101.632,153.282,,,,16:16:10,2020-06-27,
ert9,139868.066,409100.666,153.288,,,,16:16:33,2020-06-27,
ert10,139868.167,409099.688,153.305,,,,16:16:55,2020-06-27,
ert11,139868.238,409098.687,153.302,,,,16:17:11,2020-06-27,
ert12,139868.311,409097.716,153.308,,,,16:17:26,2020-06-27,
ert13,139868.331,409096.696,153.322,,,,16:17:42,2020-06-27,
ert14,139868.475,409095.723,153.341,,,,16:17:57,2020-06-27,
ert15,139868.548,409094.681,153.345,,,,16:18:09,2020-06-27,
ert16,139868.589,409093.694,153.337,,,,16:18:27,2020-06-27,
ert17,139868.649,409092.677,153.356,,,,16:18:44,2020-06-27,
ert18,139868.726,409091.688,153.359,,,,16:18:56,2020-06-27,
ert19,139868.833,409090.703,153.374,,,,16:19:09,2020-06-27,
ert20,139868.887,409089.688,153.368,,,,16:19:23,2020-06-27,
ert21,139868.969,409088.655,153.373,,,,16:19:39,2020-06-27,
ert22,139869.036,409087.674,153.392,,,,16:19:53,2020-06-27,
ert23,139869.111,409086.652,153.384,,,,16:20:07,2020-06-27,
ert24,139869.191,409085.626,153.395,,,,16:20:23,2020-06-27,
ert25,139869.269,409084.608,153.382,,,,16:20:38,2020-06-27,
ert26,139869.339,409083.651,153.369,,,,16:20:53,2020-06-27,
ert27,139869.393,409082.691,153.366,,,,16:21:07,2020-06-27,
ert28,139869.499,409081.667,153.365,,,,16:21:28,2020-06-27,
ert29,139869.540,409080.704,153.364,,,,16:21:42,2020-06-27,
ert30,139869.621,409079.688,153.354,,,,16:21:55,2020-06-27,
ert31,139869.708,409078.699,153.340,,,,16:22:09,2020-06-27,
ert32,139869.754,409077.690,153.350,,,,16:22:23,2020-06-27,
ert33,139869.833,409076.687,153.339,,,,16:22:36,2020-06-27,
ert34,139869.919,409075.690,153.365,,,,16:22:51,2020-06-27,
ert35,139870.009,409074.699,153.338,,,,16:23:05,2020-06-27,
ert36,139870.050,409073.705,153.334,,,,16:23:20,2020-06-27,
ert37,139870.170,409072.738,153.342,,,,16:23:33,2020-06-27,
ert38,139870.208,409071.728,153.327,,,,16:23:47,2020-06-27,
ert39,139870.310,409070.754,153.360,,,,16:24:00,2020-06-27,
ert40,139870.364,409069.758,153.346,,,,16:24:13,2020-06-27,
ert41,139870.467,409068.753,153.350,,,,16:24:28,2020-06-27,
ert42,139870.525,409067.755,153.348,,,,16:24:42,2020-06-27,
ert43,139870.616,409066.759,153.368,,,,16:24:56,2020-06-27,
ert44,139870.666,409065.737,153.373,,,,16:25:11,2020-06-27,
ert45,139870.692,409064.732,153.361,,,,16:25:24,2020-06-27,
ert46,139870.740,409063.721,153.340,,,,16:25:38,2020-06-27,
ert47,139870.840,409062.730,153.350,,,,16:25:49,2020-06-27,
ert48,139870.871,409061.747,153.349,,,,16:26:01,2020-06-27,
ert49,139870.947,409060.754,153.357,,,,16:26:14,2020-06-27,
ert50,139870.995,409059.768,153.360,,,,16:26:33,2020-06-27,
ert51,139871.057,409058.808,153.371,,,,16:26:46,2020-06-27,
ert52,139871.112,409057.815,153.350,,,,16:26:59,2020-06-27,
ert53,139871.184,409056.806,153.376,,,,16:27:13,2020-06-27,
