x,y,z
1,12,153.199
2,12,153.22
3,12,153.241
4,12,153.237
5,12,153.251
6,12,153.26
7,12,153.268
8,12,153.282
9,12,153.288
10,12,153.305
11,12,153.302
12,12,153.308
13,12,153.322
14,12,153.341
15,12,153.345
16,12,153.337
17,12,153.356
18,12,153.359
19,12,153.374
20,12,153.368
21,12,153.373
22,12,153.392
23,12,153.384
24,12,153.395
25,12,153.382
26,12,153.369
27,12,153.366
28,12,153.365
29,12,153.364
30,12,153.354
31,12,153.34
32,12,153.35
33,12,153.339
34,12,153.365
35,12,153.338
36,12,153.334
37,12,153.342
38,12,153.327
39,12,153.36
40,12,153.346
41,12,153.35
42,12,153.348
43,12,153.368
44,12,153.373
45,12,153.361
46,12,153.34
47,12,153.35
48,12,153.349
49,12,153.357
50,12,153.36
51,12,153.371
52,12,153.35
53,12,153.376
54,12,153.341
55,12,153.357
56,12,153.363
57,12,153.35
58,12,153.348
59,12,153.352
60,12,153.354
61,12,153.42
62,12,153.375
63,12,153.365
64,12,153.35
65,12,153.36
66,12,153.363
67,12,153.366
68,12,153.364
69,12,153.362
70,12,153.367
71,12,153.347
72,12,153.345
73,12,153.351
74,12,153.369
75,12,153.375
76,12,153.36
77,12,153.372
78,12,153.365
79,12,153.383
80,12,153.36
81,12,153.377
82,12,153.362
83,12,153.359
84,12,153.372
85,12,153.398
86,12,153.384
87,12,153.402
88,12,153.405
89,12,153.418
90,12,153.43
91,12,153.419
92,12,153.41
93,12,153.432
94,12,153.43
95,12,153.431
96,12,153.452
